物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK1-287","旧建物名：フジエール84
駐車場：建物前自販機の前に路駐　駐禁じゃない　非常階段前もいいかも
階段開放：有
通知：貼紙
警備：無
監視：プライム2
蛍光灯：１月（FCL３０×４）
入口暗証番号：呼2115","450","1.4.7.10"
"HK8-561","暗唱番号：#3939
駐車場： 近隣パーキング利用
警備：なし
階段解放：なし 内階段
遠隔：キズナ","450","1.4.7.10"
"HK3-169","東芝①②CH90 ③④⑤CV100

挨拶：管理人
駐車場：低層棟前付近
警備：無し
外階段（開放不要）
外部インターホン：１階三方枠・管理室
点検連絡：現地FAX
※基本:①9:00②10:00③11:00④13:00⑤14:00
照明:LED","450","1.4.7.10"
"HK3-170","東芝①②CH90 ③④⑤CV100

挨拶：管理人
駐車場：低層棟前付近
警備：無し
外階段（開放不要）
外部インターホン：１階三方枠・管理室
点検連絡：現地FAX
※基本:①9:00②10:00③11:00④13:00⑤14:00
照明:LED","450","1.4.7.10"
"HK1-285","機種:EXDN　 
駐車場：建物一番奥 灯油タンク側(軽なら外部階段下に置ける) 
警備：なし 
外部開放：要
点検連絡：管理会社FAX・現地貼り紙
オートロック:呼2115

@テールコード破損部あり　ビニテで補修している　点検時毎回確認","450","1.4.7.10"
"HK10-226","点検：Free
点検連絡：貼紙
駐車場：入口前付近
警備：無
暗証：呼0206","450","1.4.7.10"
"HK7-786","過去に冠水（20年くらい前?）バルブソレノイド周りから錆出てる2023年継続ならば見積り要す","450","1.4.7.10"
"HK-R1340","駐車場:近く有料パーキングへ
警備:なし
外部階段:開放要す
入館:暗証番号　呼1234
キーボックス:1階エレベーター前のBOX内
点検連絡:貼紙
監視装置：エミック直話","450","1.4.7.10"
"HK1-971","駐車場　大きい道路側駐車場入り口前付近管理人室前道路側or 道路信号機横、駐車場側に寄せて停める。　
警備　MMS　011-232-1874  管理人井島さん　携帯：090-2871-6620 点検後見つからなかったら電話で呼ぶ
機械室は6号機（F棟）屋上からしか行けない。
キーボックス　管理人室横のコンクリート壁面打ち込み。
ラミネート貼り紙管理人にて貼ってくれてるので点検後消して渡す。
救出運転　アナウンス付き
玄関暗唱　呼7815
機械室鍵変更管理人から借りた2025年7月3日","450","1.4.7.10"
"HK1-972","駐車場　大きい道路側駐車場入り口前付近管理人室前道路側or 道路信号機横、駐車場側に寄せて停める。　
警備　MMS　011-232-1874  管理人井島さん　携帯：090-2871-6620 点検後見つからなかったら電話で呼ぶ
機械室は6号機（F棟）屋上からしか行けない。
キーボックス　管理人室横のコンクリート壁面打ち込み。
ラミネート貼り紙管理人にて貼ってくれてるので点検後消して渡す。
救出運転　アナウンス付き
玄関開錠暗唱　呼7815","450","1.4.7.10"
"HK1-018","駐車場　開いているところ　電話番号掲示する。
現地1階管理会社あるが誰もいない無人現場。　
夜間オートロック　＃2468カード
貼紙　掲示板
外部階段　開放無し
キーボックス　屋上出入口扉","450","1.4.7.10"
"HK3-205","駐車場：入り口前借用（点検中ラミネート必須）
階段開放：有
通知：貼紙
警備：北幹警備（011-814-3573）
監視：キズナ
蛍光灯：LED
鍵:駐車場の物置きの側面に付いている消火器のboxの中","450","1.4.7.10"
"HK7-708","駐車場：入り口横の駐車場または有料P
階段開放：なし
通知：貼紙
警備：なし
監視：キズナ
蛍光灯：LED
入館：#8550(2024.8.26~)","450","1.4.7.10"
"HK8-262","駐車場：入口前可(軽自動車のみ)
階段開放：無
通知：貼紙
警備：無
監視：キズナ
蛍光灯：LED

ブレーキ開放:電源onでBOSにしてFMLBとDZBPを押す
地震復旧:最上階乗り場でINSにする(スローで動かさなくても復旧する)
停電管制:建物外にある分電盤のエレベーターと書いてあるブレーカーをoffにする(分電盤は建物正面に向かって左にある)","450","1.4.7.10"
"HK8-257","駐車場：建物入口前可（軽に限る）
階段開放：無
通知：貼紙
警備：無
監視：キズナ
蛍光灯：LED
入館：呼0103","450","1.4.7.10"
"HK7-508","駐車場：建物前駐車可能
階段開放：無
通知：貼紙
警備：無
監視：キズナ
蛍光灯：LED","450","1.4.7.10"
"HK3-368","駐車場：建物隣来客用
階段開放：無
通知：TEL（011-868-7111）
警備：無
監視：プライム直話２
蛍光灯：次回2025年1月FHC20×2","450","1.4.7.10"
"HK2-299","駐車場：有料P
階段開放：なし
通知：TEL(担当者:設備課　伊藤さん)
警備：なし
監視：キズナ
蛍光灯：FCL20x2
入館：フリー
EV機械室鍵借用:勤医協札幌病院、1階総務課

1階ホームランディング有り","450","1.4.7.10"
"HK3-239","駐車場：有料P
階段開放：無し
通知：貼紙
警備：無し
監視：キズナ
蛍光灯：FCL30x2
入館：鍵(駐車場パイプシャフト内)","450","1.4.7.10"
"HK8-739","駐車場：有料P
階段開放：無し
通知：貼紙
警備：無し
監視：キズナ
蛍光灯：FHF16x2
入館：呼1609","450","1.4.7.10"
"HK3-242","駐車場：来客
階段開放：なし
通知：FAX
警備：なし
監視：キズナ
蛍光灯：FCL30x4
入館：鍵(管理人室ドア)

※冬季レール異音注意！！走行異音C/B歴あり","450","1.4.7.10"
"HK3-243","駐車場：来客
階段開放：なし
通知：FAX
警備：なし
監視：キズナ
蛍光灯：FCL30x4
入館：鍵(管理人室ドア)","450","1.4.7.10"
"HK458","駐車場：来客用２台有　正面入口横　カーポート無いところ　ポスト上に来客駐車場利用掲示板あり　記入する事
階段開放：有（１Fのみ）
通知メール：㈱マンション管理サービスへ（春田が送ってる）
通知：貼紙
警備：無
監視：プライム直話
蛍光灯：10月（FCL30×４）","450","1.4.7.10"
"HK8-133","駐車場：近隣有料
階段開放：無
通知：貼紙
警備：無
監視：キズナ
蛍光灯：LED","450","1.4.7.10"
"HK1-077","駐車場：都度確認
階段開放：無
通知：点検時、次回日程伝える
警備：無
監視：キズナ
蛍光灯：LED","450","1.4.7.10"
"HK1-078","駐車場：都度確認
階段開放：無
通知：点検時、次回日程伝える
警備：無
監視：キズナ
蛍光灯：LED","450","1.4.7.10"
"HK3-071","駐車場：駐車場入ってすぐ左の壁沿い
階段開放：無
通知：貼紙（掲示板）
警備：無
監視：キズナ
蛍光灯：LED
メンテコン：サミル製

防犯カメラ点検有","450","1.4.7.10"
"HK1-295","駐車場：駐車場向かって左奥来客用
階段開放：有
通知：貼紙
警備：:なし 
監視：キズナ
蛍光灯：FCL20×2本（1月）","450","1.4.7.10"
"HK1-926","","450","1.4.7.10"
"HK6-452","","450","1.4.7.10"
"HK6-453","","450","1.4.7.10"
"HK6-454","","450","1.4.7.10"
"HK6-455","","450","1.4.7.10"
"HK7-094","","450","1.4.7.10"
"HK7-541","","450","1.4.7.10"
"HK7-542","","450","1.4.7.10"
"HK7-888","","450","1.4.7.10"
"HK7-889","","450","1.4.7.10"
"HK8-783","","450","1.4.7.10"
"HK1-653","<div>M(クマ小荷物)　
</div><div>駐車場：敷地内
点検月　1.4.7.10　PO</div><div>G
鍵：現地借用
　</div><div>
点検連絡：TELでOK。店長又はチーフに連絡する。
点検指定：～11：00頃までに終了する。AM8時ぐらいに清掃の方が来るので入室可。従業員の方は、AM10:00ぐらいに来るので、挨拶はそのときでいい。
</div><div>【契約先名変更】(株)梨湖観光→梨湖フーズ(株)(H26.3～)
2019年3月に改装工事入り2階の床が高くなりレベル限界値まで調整</div><!-- RICH TEXT -->","50","1.4.7.10"
"HK1-652","<div>M(クマ小荷物)　
</div><div>駐車場：敷地内
点検月　1.4.7.10　POG
</div><div>鍵：現地借用
　
</div><div>点検連絡：TELでOK。店長又はチーフに連絡する。
点検指定：～11：00頃までに終了する。AM8時ぐらいに清掃の方が来るので入室可。従業員の方は、AM10:00ぐらいに来るので、挨拶はそのときでいい。
</div><div>【契約先名変更】(株)梨湖観光→梨湖フーズ(株)(H26.3～)
2019年3月に改装工事入り2階の床が高くなりレベル限界値まで調整</div><!-- RICH TEXT -->","50","1.4.7.10"
"HK1-651","<div>M(クマ小荷物)　
</div><div>駐車場：敷地内
点検月　1.4.7.10　POG</div><div>
鍵：現地借用
　
点検連絡：TELでOK。店長又はチーフに連絡する。
点検指定：～11：00頃までに終了する。AM8時ぐらいに清掃の方が来るので入室可。従業員の方は、AM10:00ぐらいに来るので、挨拶はそのときでいい。
</div><div>【契約先名変更】(株)梨湖観光→梨湖フーズ(株)(H26.3～)
2019年3月に改装工事入り2階の床が高くなりレベル限界値まで調整</div><!-- RICH TEXT -->","50","1.4.7.10"
"HK1-650","<div>M(クマ小荷物)　
</div><div>駐車場：敷地内
点検月　1.4.7.10　POG</div><div>
鍵：現地借用
　</div><div>
点検連絡：TELでOK。店長又はチーフに連絡する。点検指定：～11：00頃までに終了する。AM8時ぐらいに清掃の方が来るので入室可。従業員の方は、AM10:00ぐらいに来るので、挨拶はそのときでいい。
</div><div>【契約先名変更】(株)梨湖観光→梨湖フーズ(株)(H26.3～)
2019年3月に改装工事入り2階の床が高くなりレベル限界値まで調整</div><!-- RICH TEXT -->","50","1.4.7.10"
"HK10-483","<div>?施設担当者　大沼様。</div><div>駐車場：敷地内どこでも?</div><div>挨拶：入口左側インターホンにて</div><div>?上靴必要</div><div>入口入ってすぐ右の扉を進み左側のキッチンに小荷物あり。 (1階)</div><div>階段登って右側が事務所、 左側のキッチンに小荷物あり(2階)</div><div>機械室は脚立必要。?</div><div>?鍵は2階事務所で借用。</div><div>注意： 一応ココルク江別全体が報告書に電子サインもらう為この現場もサインもらってます。?</div><!-- RICH TEXT -->","50","1.4.7.10"
"HK6-643","駐車場：敷地内
階段開放：無
通知：TEL（011-875-6111）
警備：無
監視：無
蛍光灯：無","500","1.4.7.10"
"HK8-833","<div><font size=""4"">UA-07G
</font></div><div><font size=""4"">
・点検連絡：法人本部事務所　千葉課長</font></div><div><font size=""4"">
・鍵借用：病院受付（7番:エレベーター点検用）又は法人本部事務所にて
</font></div><div><font size=""4"">・非常呼び：警備無し
外部インターホン：本館１階受付内
</font></div><div><font size=""4"">・内階段だが、精神科病院の為、ドアは開放厳禁
（閉まっているドアは元に戻すこと）</font></div><div>?</div><div><font size=""4"">

１階フロア：厨房から（売店向かい）※施錠している為、担当者又は受付にて厨房へ連絡してもらう）
</font></div><div><font size=""4"">２階フロア：廊下より　【※普段の出入りは２階からが良さそう】</font></div><div><font size=""4"">
３～５階フロア：患者いる廊下から。※出入り注意</font></div><div><font size=""4"">
乗場：キースイッチにて呼び（COPの鍵）</font></div><div><font size=""4"">

※故障対応は二人作業が望ましい。</font></div><!-- RICH TEXT -->","600","1.4.7.10"
"HK7-258","<div><font size=""4"">駐車場：北洋銀行有料駐車場</font></div><div><font size=""4"">
階段開放：無</font></div><div><font size=""4"">
通知：全体FAX、貼紙</font></div><div><font size=""4"">
警備：無
</font></div><div><font size=""4"">監視：キズナライト</font></div><div><font size=""4"">
蛍光灯：LED
</font></div><div>?</div><div><font size=""4"">



※かご内操作盤は借用している鍵で開ける</font></div><!-- RICH TEXT -->","600","1.4.7.10"
"HK2-751","<div>VFFL
</div><div>
暗証：呼3250（鍵借用も可能）
</div><div>挨拶：管理室
</div><div>駐車場：来客用又は、建物入口付近（駐車カード掲示必要：借用）</div><div>
警備：無し
外部階段開放不要（内階段）</div><div>
点検連絡：現地FAX又は点検時に翌月予定を手渡し
</div><div>ブレーキ開放ペダル：カゴ上

※LED：売切(2020.6.24～)

・定期点検時：わいわいネクストシステムにて打刻有り

★点検報告書提出方法★
ウェブアップロードで対応
【報告書アップロードフォーム 】
https://dln.box.com/s/xn461em54ne5ddb6iy9y9vdeqjhwgoga
ID/パスワード等は必要ありません。</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK2-749","<div>VFFL
</div><div>
暗証：呼3250（鍵借用も可能）
</div><div>挨拶：管理室
駐車場：来客用又は、建物入口付近（駐車カード掲示必要：借用）</div><div>
警備：無し
外部階段開放不要（内階段）</div><div>
点検連絡：現地FAX又は点検時に翌月予定を手渡し
ブレーキ開放ペダル：カゴ上
</div><div>
※LED：売切(2020.6.24～)

・定期点検時：わいわいネクストシステムにて打刻有り

★点検報告書提出方法★
ウェブアップロードで対応
【報告書アップロードフォーム 】
https://dln.box.com/s/xn461em54ne5ddb6iy9y9vdeqjhwgoga
ID/パスワード等は必要ありません。

３号館　11~13号機
点検時間ローテーション：9:30-11:00/11:00-12:30/13:30-15:00</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK2-748","<div>VFFL
</div><div>
暗証：呼3250（鍵借用も可能）</div><div>
挨拶：管理室
駐車場：来客用又は、建物入口付近（駐車カード掲示必要：借用）</div><div>
警備：無し
外部階段開放不要（内階段）
</div><div>点検連絡：現地FAX又は点検時に翌月予定を手渡し
ブレーキ開放ペダル：カゴ上
</div><div>
※LED：売切(2020.6.24～)

・定期点検時：わいわいネクストシステムにて打刻有り

★点検報告書提出方法★
ウェブアップロードで対応
【報告書アップロードフォーム 】
https://dln.box.com/s/xn461em54ne5ddb6iy9y9vdeqjhwgoga
ID/パスワード等は必要ありません。

３号館　11~13号機
点検時間ローテーション：9:30-11:00/11:00-12:30/13:30-15:00</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK2-750","<div>VFFL</div><div>

暗証：呼3250（鍵借用も可能）
</div><div>挨拶：管理室
駐車場：来客用又は、建物入口付近（駐車カード掲示必要：借用）</div><div>
警備：無し
外部階段開放不要（内階段）</div><div>
点検連絡：現地FAX又は点検時に翌月予定を手渡し</div><div>
ブレーキ開放ペダル：カゴ上

※LED：売切(2020.6.24～)

・定期点検時：わいわいネクストシステムにて打刻有り

★点検報告書提出方法★
ウェブアップロードで対応
【報告書アップロードフォーム 】
https://dln.box.com/s/xn461em54ne5ddb6iy9y9vdeqjhwgoga
ID/パスワード等は必要ありません。

３号館　11~13号機
点検時間ローテーション：9:30-11:00/11:00-12:30/13:30-15:00</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK-R0097","<div>※故障発生時は管理会社　林興業株式会社（011-865-8511）に軽微な故障でも報告する。</div><div>


駐車場：敷地内、ツルハ駐車場をお借りする。</div><div>
階段開放：なし</div><div>
警備：SECOM   011-890-7560  客先コード:701215 インターホン発報あり　解錠必要　駐車場内セコム盤有り</div><div>
入館：呼8958
挨拶：別建物、ツルハ2階林興業に点検終了の挨拶をする
</div><div>インターホン：１階三方枠</div><div>
鍵：屋上へのドア</div><div>
照明：LED</div><div>
通知：貼紙のみ
</div><div>備考：外階段で最上階に行きキーBOX(カギ2本、外扉、機械室)の付いた扉を開け上って行くと扉、扉、機械室
直話</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK514","<div>点検時注意事項
・入館方法
　管理人室キーBOXの鍵で管理人室に入る
　流し台の下の扉を開けM/R等の鍵を借用
　管理人室机横のインターホンに「解錠」ボタンを押してオートロック解除する
　</div><div>
・点検前後連絡（すまいるセンター　03-5368-7689）
</div><div>・警備：無
・駐車場：28か38（管理人確認）
</div><div>・点検後N-POST入力する　
</div><div>・点検通知　2ヶ月前全体メール　管理人TEL2週間前くらい　10：00～12：00
・2名点検</div><div>
・蛍光灯：LED
2025年7月末まで建物修繕中のため屋上前柵にダイヤル式鍵有り　0000で開く

*緊急出動時連絡先:野村住まいるセンター(大阪)へ連絡:TEL 06-6585-7719/FAX 06-6538-1500  日中011-738-0166  
※平常時 20:00～翌8：30の電話は東京住まいるセンターへ自動転送                                                                                          
＊遠隔報告書は2部送付。【契約先住所変更】北区北7条西1丁目→北区北3条西3丁目(H25.2.12～)           
リモート可能コマンドは右記参照(かご呼登録 最上階：mu 8  中間階：mc 4  最下階：md 1 )              
 ■■野村不動産パートナーズ(株)共通事項は故障欄1行目■■
*管理人様がいらっしゃる場合、または管理室に入れる場合は、専用の腕章を借用し左腕に装着してから作業を開始して下さい。

*LED：リニューアル</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK515","<div>点検時注意事項
・入館方法
　管理人室キーBOXの鍵で管理人室に入る
　流し台の下の扉を開けM/R等の鍵を借用
　管理人室机横のインターホンに「解錠」ボタンを押してオートロック解除する
　</div><div>
・点検前後連絡（すまいるセンター　03-5368-7689）
</div><div>・警備：無
・駐車場：28か38（管理人確認）
・点検後N-POST入力する　</div><div>
・点検通知　2ヶ月前全体メール　管理人TEL2週間前くらい　10：00～12：00
・2名点検
</div><div>・蛍光灯：LED

2025年7月末まで建物修繕中のため屋上前柵にダイヤル式鍵有り　0000で開く

*緊急出動時連絡先:野村住まいるセンター(大阪)へ連絡:TEL 06-6585-7719/FAX 06-6538-1500  日中011-738-0166  
※平常時 20:00～翌8：30の電話は東京住まいるセンターへ自動転送                                           
                                                 
リモート可能コマンドは右記参照(かご呼登録 最上階：mu 8  中間階：mc 4  最下階：md 1 )              
*監視報告書:15日に発送  【契約先住所変更】北区北7条西1丁目→北区北3条西3丁目(H25.2.12～)          
 ■■野村不動産パートナーズ(株)共通事項は故障欄1行目■■
*管理人様がいらっしゃる場合、または管理室に入れる場合は、専用の腕章を借用し左腕に装着してから作業を開始して下さい。

*LED：リニューアル</div><!-- RICH TEXT -->","600","1.4.7.10"
"HK8-957","@敷地内複合施設　敷地内見取図参照

※報告書現地電子サイン必要！！！！

敷地内どこでも駐車可能
建物：駐車場入り口から見て左側の建物
インターホンにて入館、挨拶","600","1.4.7.10"
"HK7-543","RevoⅠ(11停)　　　
駐車場所：基本来客用 空いてない時は管理員に確認
警備：セントラル警備(011-700-2700)
外部階段解放：無
挨拶：現地管理員
遠隔監視：キズナ
入館：暗証
点検月：1・4・7・10
客先INT：1階管理室
照明：京セラFCL30×4
点検時間：No.1　9：00～10：30、No.2　10：30～12：00　No.3　13：00～14：30
点検連絡：現地FAX：011-892-0115(点検の10日前に送る事)

ピット内結露酷い　ピット内カウンター側安全用の鉄板取外し中 バランスチェーンが揺れて当たる
カゴ内換気扇は夏場も回さないとの事　管理員より","600","1.4.7.10"
"HK2-485","SICON4000　UCMP付(CV40)
駐車場：来客用(都度確認) ※２番かな
警備：なし 
外部開放：不要(内階段)
キーボックス：管理人室扉
入館：鍵にて","600","1.4.7.10"
"HK305","①駐車場　　　　　有　ゲート付きの駐車場　インターホンで開けてもらい場所を聞く
②入館　　　　　　管理棟で鍵借用する
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　点検時は制御盤内警報スイッチを切ること
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　FAX

マルチビーム故障多い　在庫で現地置きするようにしています。","600","1.4.7.10"
"HK306","①駐車場　　　　　有　ゲート付きの駐車場　インターホンで開けてもらい場所を聞く
②入館　　　　　　管理棟で鍵借用する
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　点検時は制御盤内警報スイッチを切ること
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　FAX

マルチビーム故障多い　在庫で現地置きするようにしています。","600","1.4.7.10"
"HK307","①駐車場　　　　　有　ゲート付きの駐車場　インターホンで開けてもらい場所を聞く
②入館　　　　　　管理棟で鍵借用する
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　点検時は制御盤内警報スイッチを切ること
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　FAX

マルチビーム故障多い　在庫で現地置きするようにしています。","600","1.4.7.10"
"HK308","①駐車場　　　　　有　ゲート付きの駐車場　インターホンで開けてもらい場所を聞く
②入館　　　　　　管理棟で鍵借用する
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　点検時は制御盤内警報スイッチを切ること
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　FAX

マルチビーム故障多い　在庫で現地置きするようにしています。","600","1.4.7.10"
"HK317","①駐車場　　　　　有　ゲート付きの駐車場　インターホンで開けてもらい場所を聞く
②入館　　　　　　管理棟で鍵借用する
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　点検時は制御盤内警報スイッチを切ること
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　FAX

マルチビーム故障多い　在庫で現地置きするようにしています。","600","1.4.7.10"
"HK3-022","①駐車場　　　　　有　建物前駐車スペース　
②入館　　　　　　暗唱：呼7412
③キーBOX　　　　屋上機械室扉
④遠隔　　　　　　キズナ
⑤警備　　　　　　有　中央ビルメンテナンス　0126-22-6011
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　有
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL　0126-24-8801　現地管理室　火・木　午前中しかいない。","600","1.4.7.10"
"HK10-109","三菱　VFDL

駐車場：建物前
階段開放：不要（内階段）
警備：無
入館：インターホンにて
インターホン：1階乗場 6v
鍵(EV機械室扉)：借用又は開けてもらう
通知：㈱リップス　ミヤモト様
011-861-1816/090-7656-0361
点検時間：平日10:30-18:00 ※14時希望

備考：カゴ下カメラ付いているが点検不要
（メーカーが残していった物）
照明：LED（メーカー施工）","600","1.4.7.10"
"HK8-759","中央棟東側ELV

①駐車場　　　　　来客用駐車スペース（場内一方通行箇所あるため注意）
②入館　　　　　　フリー
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　LED
⑩点検連絡　　　　TEL　0126-32-1350","600","1.4.7.10"
"HK1-189","外部階段開放：要  
 駐車場：無だが入口前は大丈夫そう 
 警備：なし。
キーBOX：屋上階段の入口格子戸横
暗証番号：呼5868","600","1.4.7.10"
"HK3-251","暗証　無
挨拶　住宅インターホンにて
警備　無
駐車場　現地空きスペース
外部解放　無
                                          
インターホンテストは声かけてから。  設置場所住宅内","600","1.4.7.10"
"HK3-171","東芝①②CH90 ③④⑤CV100

挨拶：管理人
駐車場：低層棟前付近
警備：無し
外階段（開放不要）
外部インターホン：１階三方枠・管理室
点検連絡：現地FAX
※基本:①9:00②10:00③11:00④13:00⑤14:00
照明:LED","600","1.4.7.10"
"HK3-172","東芝①②CH90 ③④⑤CV100

挨拶：管理人
駐車場：低層棟前付近
警備：無し
外階段（開放不要）
外部インターホン：１階三方枠・管理室
点検連絡：現地FAX
※基本:①9:00②10:00③11:00④13:00⑤14:00
照明:LED","600","1.4.7.10"
"HK3-173","東芝①②CH90 ③④⑤CV100

挨拶：管理人
駐車場：低層棟前付近
警備：無し
外階段（開放不要）
外部インターホン：１階三方枠・管理室
点検連絡：現地FAX
※基本:①9:00②10:00③11:00④13:00⑤14:00
照明:LED","600","1.4.7.10"
"HK10-319","点検連絡：FAX (2週間前)
階段開放：無し (内階段)
警備：セントラル警部 (011-700-2700)
駐車場：出口付近２台(来客用)　入口より下って建物下をくぐる通路楯列３台(番号無し)
K.BOX：センター玄関管理人室前(向って左下扉内)
入館方法：鍵

入って右手奥１号機手前2号機 左手奥４号機手前3号機","600","1.4.7.10"
"HK10-320","点検連絡：FAX (2週間前)
階段開放：無し (内階段)
警備：セントラル警部 (011-700-2700)
駐車場：出口付近２台(来客用)　入口より下って建物下をくぐる通路楯列３台(番号無し)
K.BOX：センター玄関管理人室前(向って左下扉内)
入館方法：鍵

入って右手奥１号機手前2号機 左手奥４号機手前3号機","600","1.4.7.10"
"HK10-321","点検連絡：FAX (2週間前)
階段開放：無し (内階段)
警備：セントラル警部 (011-700-2700)
駐車場：出口付近２台(来客用)　入口より下って建物下をくぐる通路楯列３台(番号無し)
K.BOX：センター玄関管理人室前(向って左下扉内)
入館方法：鍵

入って右手奥１号機手前2号機 左手奥４号機手前3号機","600","1.4.7.10"
"HK10-322","点検連絡：FAX (2週間前)
階段開放：無し (内階段)
警備：セントラル警部 (011-700-2700)
駐車場：出口付近２台(来客用)　入口より下って建物下をくぐる通路楯列３台(番号無し)
K.BOX：センター玄関管理人室前(向って左下扉内)
入館方法：鍵

入って右手奥１号機手前2号機 左手奥４号機手前3号機","600","1.4.7.10"
"HK7-038","駐車場　みどりの歯科の駐車場を使用
警備なし
介護老人施設ゆうよりインターホンで入館
建物場所：ゆう入口より赤いじゅうたんを左に曲がって突き当たり右にエレベーターあります
2階3階に挨拶してから点検
3階乗場左下にメンテボックスあり","600","1.4.7.10"
"HK9-370","駐車場ー来客用無ければ46 47 85 86(管理人確認要)    立体駐車場下の1番奥のスペース　背の高い車注意
挨拶ー管理棟に挨拶し鍵借用　24時間管理人常駐しているがお盆、正月は不在のため事務所保管の鍵を使用する。
機械室までー管理棟側がN棟　駐車位置側がS棟　入口向かって右側から各棟のA号機
　　　　　N棟は真ん中から各M/R行ける　
　　　　　S棟はA号機からA、B機械室　C号機M/RはB号機8階から屋上に出る　
　　　　　S棟D号機は直上
警備ありー点検前にMMS管理人確認連絡（011-232-1874）
点検条件ー無し
連絡方法ーFAX
暗証番号ー呼4930

注意ー稼働点検有　報告書に記載「点検月対象外号機の目視点検を実施しました。異常ありません。」　管理人にも口頭で報告","600","1.4.7.10"
"HK9-371","駐車場ー来客用無ければ46 47 85 86(管理人確認要)    立体駐車場下の1番奥のスペース　背の高い車注意
挨拶ー管理棟に挨拶し鍵借用　24時間管理人常駐しているがお盆、正月は不在のため事務所保管の鍵を使用する。
機械室までー管理棟側がN棟　駐車位置側がS棟　入口向かって右側から各棟のA号機
　　　　　N棟は真ん中から各M/R行ける　
　　　　　S棟はA号機からA、B機械室　C号機M/RはB号機8階から屋上に出る　
　　　　　S棟D号機は直上
警備ありー点検前にMMS管理人確認連絡（011-232-1874）
点検条件ー無し
連絡方法ーFAX
暗証番号ー呼4930

注意ー稼働点検有　報告書に記載「点検月対象外号機の目視点検を実施しました。異常ありません。」　管理人にも口頭で報告","600","1.4.7.10"
"HK9-372","駐車場ー来客用無ければ46 47 85 86(管理人確認要)    立体駐車場下の1番奥のスペース　背の高い車注意
挨拶ー管理棟に挨拶し鍵借用　24時間管理人常駐しているがお盆、正月は不在のため事務所保管の鍵を使用する。
機械室までー管理棟側がN棟　駐車位置側がS棟　入口向かって右側から各棟のA号機
　　　　　N棟は真ん中から各M/R行ける　
　　　　　S棟はA号機からA、B機械室　C号機M/RはB号機8階から屋上に出る　
　　　　　S棟D号機は直上
警備ありー点検前にMMS管理人確認連絡（011-232-1874）
点検条件ー無し
連絡方法ーFAX
暗証番号ー呼4930

注意ー稼働点検有　報告書に記載「点検月対象外号機の目視点検を実施しました。異常ありません。」　管理人にも口頭で報告","600","1.4.7.10"
"HK2-349","駐車場：敷地内
階段開放：無
通知：TEL（011-871-7721）
警備：無
監視：プライムライト２
蛍光灯：3月（FHF16EX-N-X　×２本）","600","1.4.7.10"
"HK-R0091","駐車場：敷地内駐車スペース
階段開放：なし
通知：TEL　011-860-1113
警備：なし
監視：直話
照明：LED

※水曜日NG、HK-R0538点検終了後実施
am8:30頃に社員専用入口が開く
社員専用入口横の事務所に挨拶する（不在の時は不要）
機械室扉は常時開錠　
機械室内に備品多数2024.7点検時に撤去依頼（次年度検査時までに）
かご上にウエイト150-200Kgあり　RN前とカゴ荷重が変わった為、脈動を抑える為に
置いているとの事","600","1.4.7.10"
"HK2-172","駐車場：有料P
階段開放：あり
通知：貼紙
警備：なし
監視：プライム
蛍光灯：LED
入館：8935","600","1.4.7.10"
"HK3-218","駐車場：有料P
階段開放：あり
通知：貼紙
警備：セントラル警備
監視：キズナ
蛍光灯：LED
入館：2580","600","1.4.7.10"
